name,ISO Code,Year,Tanks,Combat vehicles,Artillery,Aircraft,Helicopters,Warships,Missiles/Missile launchers,Stockpiles
Argentina,ARG,2019,385,744,1535,76,134,38,43,2955
Armenia,ARM,2009,110,140,239,16,8,0,0,513
Australia,AUS,2019,59,1913,340,174,46,49,0,2581
Austria,AUT,2012,114,808,808,15,0,0,20,1765
Azerbaijan,AZE,1997,270,361,301,48,15,16,0,1011
Belarus,BLR,1995,3108,3176,1533,291,74,0,0,8182
Belgium,BEL,2020,2,169,64,61,23,9,41,369
Brazil,BRA,2007,386,1277,674,186,137,41,173,2874
Bulgaria,BGR,2016,313,557,950,46,12,6,0,1884
Cambodia,KHM,2000,103,74,102,5,4,10,0,298
Canada,CAN,2020,82,1616,368,87,0,28,165,2346
China,CHN,2011,296,0,0,0,0,0,0,296
Colombia,COL,1992,54,203,300,68,74,38,32,769
Côte d'Ivoire,CIV,1993,0,63,21,5,0,0,0,89
Croatia,HRV,2001,280,143,1117,24,9,0,0,1573
Czech Rep.,CZE,2020,116,430,179,39,17,0,53,834
Denmark,DNK,2020,46,233,41,44,11,11,0,386
Estonia,EST,2015,0,159,0,0,0,0,0,159
Finland,FIN,2020,200,1118,1503,62,0,8,0,2891
France,FRA,2020,267,6309,133,279,196,68,0,7252
Georgia,GEO,2002,87,119,116,7,3,1,0,333
Germany,DEU,2020,806,2062,319,234,111,46,4525,8103
Greece,GRC,2017,1619,2299,1818,589,28,61,1676,8090
Honduras,HND,1998,32,0,100,27,0,25,30,214
Hungary,HUN,2017,76,597,89,91,15,0,134,1002
Ireland,IRL,2014,0,156,127,0,0,0,66,349
Italy,ITA,2014,1191,2525,1113,320,98,44,1615,6906
Japan,JPN,2020,690,1245,5920,400,145,106,0,8506
Kuwait,KWT,2005,367,273,98,66,29,11,59,903
Lithuania,LTU,2020,0,296,170,0,0,1,91,558
Luxembourg,LUX,2003,0,42,0,0,0,0,0,42
Mexico,MEX,1996,119,720,161,136,101,0,0,1237
Netherlands,NLD,2020,5,1225,304,82,45,27,1490,3178
New Zealand,NZL,2008,0,105,24,40,5,2,12,188
Nicaragua,NIC,1992,0,1,0,0,23,0,5892,5916
Niger,NER,1994,0,84,4,0,0,0,0,88
North Macedonia,MKD,2001,125,227,307,4,10,0,0,673
Norway,NOR,2003,165,530,512,72,0,36,0,1315
Paraguay,PRY,1994,0,0,737,0,0,0,0,737
Poland,POL,2020,837,1667,1076,112,81,27,0,3800
Portugal,PRT,2001,187,522,377,101,0,20,29,1236
Rep. of Moldova,MDA,2003,0,200,150,0,0,0,0,350
Romania,ROU,2019,641,1260,2804,108,22,16,288,5139
Serbia,SRB,2004,0,0,36,0,0,0,0,36
Sierra Leone,SLE,1993,0,0,9,0,0,0,0,9
Slovakia,SVK,2020,30,342,166,24,0,0,808,1370
Spain,ESP,2020,501,3476,1584,187,52,46,874,6720
Suriname,SUR,2017,3,4,25,0,0,0,0,32
Sweden,SWE,2020,120,1045,255,132,0,23,60,1635
Switzerland,CHE,2020,134,1266,355,83,0,0,7,1845
Togo,TGO,2000,20,58,45,5,0,2,0,130
Turkey,TUR,2007,3363,4625,6110,352,44,60,1859,16413
United Kingdom,GBR,2020,302,3769,250,171,162,61,24645,29360
United States,USA,2019,5125,14321,4771,4188,908,293,54993,84599
Venezuela (Bolivarian Republic of),VEN,1997,389,120,54,112,0,15,0,690
