AC,AD,AR,AV,All,EN,GR,MI,iso_alpha,sipri_alpha,sipri_name,SH,NW,OT,SA
1384.0,50.0,1481.0,25679.0,42631.0,58.0,20.0,13959.0,AFG,AFG,Afghanistan,0.0,0.0,0.0,0.0
18.0,0.0,0.0,292.0,310.0,0.0,0.0,0.0,,AU,African Union,0.0,0.0,0.0,0.0
324.0,58.0,1573.0,1163.0,4141.0,0.0,29.0,915.0,ALB,ALB,Albania,79.0,0.0,0.0,0.0
1345.0,378.0,1031.0,5550.0,44882.0,361.0,109.0,35210.0,DZA,ALG,Algeria,126.0,12.0,760.0,0.0
770.0,198.0,868.0,3035.0,11731.0,93.0,107.0,6627.0,AGO,ANG,Angola,31.0,2.0,0.0,0.0
1451.0,96.0,574.0,1562.0,8259.0,534.0,183.0,3589.0,ARG,ARG,Argentina,76.0,44.0,150.0,0.0
21.0,17.0,138.0,149.0,2922.0,0.0,0.0,2597.0,ARM,ARM,Armenia,0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,ABW,ARU,Aruba,0.0,0.0,0.0,0.0
1706.0,41.0,475.0,2804.0,22629.0,1716.0,450.0,15407.0,AUS,AUS,Australia,-41.0,53.0,18.0,0.0
162.0,150.0,-87.0,-958.0,4883.0,-924.0,123.0,6050.0,AUT,AST,Austria,0.0,0.0,367.0,0.0
210.0,5.0,698.0,1322.0,8061.0,140.0,4.0,5659.0,AZE,AZB,Azerbaijan,13.0,0.0,10.0,0.0
4.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,BHS,BAS,Bahamas,17.0,0.0,0.0,0.0
113.0,2.0,136.0,1454.0,6533.0,9.0,33.0,4763.0,BHR,BAH,Bahrain,23.0,0.0,0.0,0.0
441.0,7.0,454.0,1379.0,5841.0,133.0,46.0,3297.0,BGD,BAN,Bangladesh,80.0,4.0,0.0,0.0
1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,BRB,BAR,Barbados,4.0,0.0,0.0,0.0
-184.0,17.0,-295.0,-956.0,-3986.0,-21.0,-7.0,-2540.0,BLR,BLR,Belarus,0.0,0.0,0.0,0.0
1976.0,94.0,431.0,4125.0,23154.0,444.0,255.0,16366.0,BEL,BEL,Belgium,49.0,12.0,-598.0,0.0
7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,BLZ,BLZ,Belize,0.0,0.0,0.0,0.0
34.0,0.0,4.0,90.0,143.0,10.0,0.0,0.0,BEN,BEN,Benin,5.0,0.0,0.0,0.0
3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,BTN,BHU,Bhutan,0.0,0.0,0.0,0.0
499.0,0.0,74.0,251.0,1423.0,30.0,5.0,530.0,BOL,BOL,Bolivia,0.0,0.0,34.0,0.0
16.0,0.0,143.0,236.0,695.0,0.0,0.0,300.0,BIH,BOS,Bosnia-Herzegovina,0.0,0.0,0.0,0.0
99.0,9.0,26.0,215.0,1088.0,20.0,1.0,675.0,BWA,BOT,Botswana,0.0,0.0,43.0,0.0
920.0,76.0,540.0,-537.0,9536.0,2399.0,294.0,5574.0,BRA,BRA,Brazil,121.0,58.0,91.0,0.0
58.0,12.0,0.0,118.0,628.0,31.0,12.0,380.0,BRN,BRU,Brunei,13.0,4.0,0.0,0.0
1168.0,319.0,596.0,6090.0,30683.0,48.0,114.0,22237.0,BGR,BUL,Bulgaria,109.0,2.0,0.0,0.0
54.0,0.0,29.0,237.0,384.0,9.0,0.0,55.0,BFA,BF,Burkina Faso,0.0,0.0,0.0,0.0
19.0,0.0,0.0,181.0,505.0,0.0,0.0,305.0,BDI,BDI,Burundi,0.0,0.0,0.0,0.0
9.0,0.0,0.0,10.0,23.0,0.0,0.0,0.0,CPV,CAP,Cabo Verde,4.0,0.0,0.0,0.0
570.0,9.0,195.0,864.0,2438.0,4.0,3.0,760.0,KHM,CMB,Cambodia,33.0,0.0,0.0,0.0
113.0,30.0,140.0,255.0,1069.0,29.0,28.0,465.0,CMR,CAM,Cameroon,9.0,0.0,0.0,0.0
192.0,56.0,495.0,-4895.0,24309.0,-1825.0,977.0,27595.0,CAN,CAN,Canada,-15.0,147.0,1582.0,0.0
32.0,0.0,4.0,114.0,150.0,0.0,0.0,0.0,CAF,CAR,Central African Republic,0.0,0.0,0.0,0.0
90.0,0.0,36.0,601.0,1426.0,34.0,0.0,665.0,TCD,CHA,Chad,0.0,0.0,0.0,0.0
1013.0,127.0,198.0,2054.0,12485.0,391.0,85.0,8512.0,CHL,CHE,Chile,101.0,2.0,2.0,0.0
4813.0,256.0,-6966.0,-7546.0,-41239.0,9409.0,164.0,-41263.0,CHN,CHI,China,-202.0,96.0,0.0,0.0
1142.0,0.0,462.0,389.0,4571.0,100.0,102.0,2256.0,COL,COL,Colombia,58.0,16.0,46.0,0.0
8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,COM,COM,Comoros,0.0,0.0,0.0,0.0
93.0,12.0,65.0,331.0,690.0,32.0,3.0,150.0,COG,CON,Congo,4.0,0.0,0.0,0.0
38.0,0.0,0.0,4.0,44.0,0.0,0.0,0.0,CRI,COS,Costa Rica,2.0,0.0,0.0,0.0
75.0,6.0,39.0,136.0,318.0,15.0,0.0,35.0,CIV,IVO,Cote d'Ivoire,12.0,0.0,0.0,0.0
108.0,0.0,-18.0,354.0,948.0,154.0,9.0,250.0,HRV,CRO,Croatia,2.0,1.0,88.0,0.0
779.0,154.0,1064.0,3234.0,14792.0,30.0,15.0,9400.0,CUB,CUB,Cuba,116.0,0.0,0.0,0.0
40.0,36.0,226.0,827.0,4456.0,22.0,6.0,3282.0,CYP,CYP,Cyprus,17.0,0.0,0.0,0.0
-298.0,0.0,-389.0,-764.0,-75.0,153.0,81.0,1037.0,CZE,CZR,Czechia,0.0,0.0,105.0,0.0
384.0,0.0,265.0,714.0,1455.0,45.0,4.0,10.0,COD,DRC,DR Congo,13.0,0.0,20.0,0.0
0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,,XSD,Darfur rebels (Sudan)*,0.0,0.0,0.0,0.0
785.0,17.0,535.0,2351.0,15969.0,595.0,231.0,11406.0,DNK,DEN,Denmark,20.0,29.0,0.0,0.0
39.0,0.0,36.0,241.0,325.0,2.0,0.0,6.0,DJI,DJI,Djibouti,1.0,0.0,0.0,0.0
288.0,0.0,46.0,113.0,480.0,8.0,4.0,0.0,DOM,DOM,Dominican Republic,21.0,0.0,0.0,0.0
533.0,30.0,251.0,339.0,3378.0,80.0,44.0,2048.0,ECU,ECU,Ecuador,43.0,10.0,0.0,0.0
3625.0,1126.0,2740.0,18748.0,112358.0,825.0,926.0,84007.0,EGY,EGY,Egypt,269.0,32.0,58.0,2.0
352.0,0.0,166.0,115.0,637.0,0.0,0.0,0.0,SLV,SAL,El Salvador,4.0,0.0,0.0,0.0
24.0,0.0,0.0,65.0,110.0,8.0,0.0,0.0,GNQ,EQU,Equatorial Guinea,10.0,1.0,2.0,0.0
51.0,2.0,120.0,127.0,766.0,6.0,1.0,454.0,ERI,ERI,Eritrea,5.0,0.0,0.0,0.0
13.0,0.0,243.0,211.0,1475.0,0.0,32.0,961.0,EST,EST,Estonia,15.0,0.0,0.0,0.0
707.0,104.0,1372.0,3511.0,11746.0,56.0,23.0,5945.0,ETH,ETH,Ethiopia,28.0,0.0,0.0,0.0
1.0,0.0,0.0,10.0,18.0,0.0,0.0,0.0,FJI,FJI,Fiji,7.0,0.0,0.0,0.0
500.0,76.0,482.0,-8.0,14002.0,-35.0,181.0,12768.0,FIN,FIN,Finland,-30.0,18.0,50.0,0.0
-6104.0,-663.0,-5693.0,-18653.0,-373525.0,-5245.0,-2275.0,-333599.0,FRA,FRA,France,-268.0,-71.0,-949.0,-5.0
86.0,4.0,46.0,190.0,498.0,42.0,1.0,110.0,GAB,GAB,Gabon,6.0,1.0,12.0,0.0
3.0,0.0,0.0,8.0,17.0,0.0,0.0,0.0,GMB,GAM,Gambia,6.0,0.0,0.0,0.0
29.0,9.0,162.0,482.0,3305.0,70.0,7.0,2532.0,GEO,GEO,Georgia,14.0,0.0,0.0,0.0
1596.0,43.0,216.0,-5160.0,-77013.0,-20900.0,877.0,-52595.0,DEU,FRG,Germany,-558.0,221.0,-753.0,0.0
190.0,0.0,42.0,393.0,886.0,133.0,3.0,100.0,GHA,GHA,Ghana,23.0,2.0,0.0,0.0
2531.0,436.0,2708.0,7723.0,60271.0,344.0,347.0,45919.0,GRC,GRE,Greece,175.0,88.0,0.0,0.0
186.0,5.0,92.0,55.0,386.0,42.0,3.0,0.0,GTM,GUA,Guatemala,3.0,0.0,0.0,0.0
66.0,4.0,91.0,192.0,583.0,0.0,3.0,210.0,GIN,GUI,Guinea,17.0,0.0,0.0,0.0
34.0,0.0,26.0,90.0,462.0,0.0,2.0,300.0,GNB,GBI,Guinea-Bissau,10.0,0.0,0.0,0.0
32.0,0.0,30.0,4.0,169.0,0.0,0.0,100.0,GUY,GUY,Guyana,3.0,0.0,0.0,0.0
