,sipri_name,sipri_alpha,coprod_nans,delyears_nans,nrdel_nans,number_delivered_estimates,onum_nans,order_date_estimates,order_number_estimates,sipri_records,term_nans,https://www.unroca.org/,Most recent year (1992-2019),I. Battle tanks,II. Armoured combat vehicles,III. Large calibre artillery systems,IV. Combat aircraft,V. Attack helicopters,VI. Warships,VII. Missiles and missile launchers,Total Recorded Munition Sum,Exports/Imports,Military Holdings,National Production,SALW,Total,Transparency Index,Comment
ABW,Aruba,ARU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,
AFG,Afghanistan,AFG,1.0,2.0,2.0,35.0,0.0,15.0,21.0,66.0,36.0,Afghanistan,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,,
AGO,Angola,ANG,4.0,2.0,2.0,34.0,2.0,80.0,49.0,108.0,104.0,Angola,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
ALB,Albania,ALB,1.0,1.0,1.0,7.0,0.0,2.0,4.0,13.0,7.0,Albania,,,,,,,,,,14.0,0.0,0.0,9.0,23.0,,
ARE,UAE,UAE,56.0,32.0,30.0,205.0,8.0,97.0,147.0,321.0,272.0,United Arab Emirates,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
ARG,Argentina,ARG,7.0,6.0,6.0,27.0,0.0,33.0,18.0,89.0,64.0,Argentina,2019,385,744,1535,76,134,38,43,2955,23.0,15.0,1.0,6.0,45.0,,
ARM,Armenia,ARM,3.0,1.0,1.0,27.0,0.0,29.0,18.0,39.0,23.0,Armenia,2009,110,140,239,16,8,,,513,19.0,13.0,0.0,6.0,38.0,,
AUS,Australia,AUS,28.0,35.0,32.0,117.0,4.0,62.0,70.0,256.0,165.0,Australia,2019,59,1913,340,174,46,49,,2581,25.0,19.0,13.0,9.0,66.0,,
AUT,Austria,AST,6.0,7.0,7.0,69.0,0.0,32.0,30.0,126.0,95.0,Austria,2012,114,808,808,15,,,20,1765,24.0,20.0,9.0,5.0,58.0,,
AZE,Azerbaijan,AZB,14.0,0.0,0.0,79.0,0.0,69.0,89.0,109.0,99.0,Azerbaijan,1997,270,361,301,48,15,16,,1011,16.0,3.0,0.0,4.0,23.0,,
